Ind_id	Homozygous	Heterozygous
Tuscany1	26827	10542
Tuscany2	26430	10539
Tuscany3	26548	10651
Tuscany4	26587	10439
Tuscany5	26474	10726
Tuscany6	26690	10655
Tuscany7	26694	10536
Tuscany8	26887	10484
Tuscany9	26690	10660
Tuscany10	26716	10552
Tuscany11	26375	10658
Tuscany12	26698	10669
Tuscany13	26623	10698
Tuscany14	26426	10809
Tuscany15	26633	10631
Tuscany16	26685	10647
Tuscany17	26298	10578
Tuscany18	26733	10556
Tuscany19	26718	10461
Tuscany20	26570	10701
Tuscany21	26585	10635
Tuscany22	26718	10517
Tuscany23	26515	10572
Tuscany24	26641	10472
Tuscany25	26527	10535
Tuscany26	26662	10513
Tuscany27	26515	10678
Tuscany28	26689	10870
Tuscany29	26631	10451
Tuscany30	26776	10662
Tuscany31	26515	10667
Tuscany32	26665	10522
Tuscany33	26535	10836
Tuscany34	26683	10442
Tuscany35	26852	10529
Tuscany36	26703	10516
Tuscany37	26516	10487
Tuscany38	26456	10548
Tuscany39	26676	10625
Tuscany40	26581	10665
Tuscany41	26512	10514
Tuscany42	26651	10416
Tuscany43	26624	10501
Tuscany44	26829	10466
Tuscany45	26810	10513
Tuscany46	26543	10549
Tuscany47	26575	10572
Tuscany48	26920	10462
Tuscany49	26687	10541
Tuscany50	26665	10452
Tuscany51	26757	10499
Tuscany52	26321	10664
Tuscany53	26684	10517
Tuscany54	26567	10528
Tuscany55	26689	10515
Tuscany56	26547	10516
Tuscany57	26609	10543
Tuscany58	26541	10604
Tuscany59	26570	10599
Tuscany60	26633	10623
Tuscany61	26699	10531
Tuscany62	26633	10552
Tuscany63	26715	10615
Tuscany64	26641	10382
Tuscany65	26526	10681
Tuscany66	26531	10662
Tuscany67	26540	10617
Tuscany68	26698	10580
Tuscany69	26647	10827
Tuscany70	26653	10604
Tuscany71	26769	10510
Tuscany72	26723	10641
Tuscany73	26616	10689
Tuscany74	26501	10591
Tuscany75	26876	10684
Tuscany76	26707	10567
Tuscany77	26619	10646
Tuscany78	26426	10549
Tuscany79	26548	10690
Tuscany80	26645	10402
Tuscany81	26761	10638
Tuscany82	26718	10587
Tuscany83	26647	10670
Tuscany84	26359	10761
Tuscany85	26622	10503
Tuscany86	26613	10522
Tuscany87	26669	10788
Tuscany88	26653	10538
Mozabite89	26320	10738
Mozabite90	26441	10635
Bedouin91	25951	10775
Bedouin92	27229	9608
Bedouin93	26714	10023
Bedouin94	26752	10328
Druze95	26920	10515
Druze96	26610	10736
Druze97	27153	9588
Druze98	26734	10666
Palestinian99	26818	10476
Palestinian100	26823	10146
Palestinian101	26595	10543
Palestinian102	26395	10586
Palestinian103	26551	10655
Mozabite104	26273	10636
Mozabite105	26398	10544
Bedouin106	27408	10066
Bedouin107	26942	10384
Bedouin108	26448	10814
Bedouin109	26292	11037
Druze110	26684	10314
Druze111	26664	10521
Druze112	26768	10667
Druze113	27266	9584
Palestinian114	26620	10757
Palestinian115	26654	10532
Palestinian116	27001	10083
Palestinian117	26627	10845
Palestinian118	27281	9987
Mozabite119	26311	10588
Mozabite120	26054	10466
Mozabite121	26530	10314
Bedouin122	26381	10768
Bedouin123	26800	10351
Bedouin124	26928	9744
Druze125	27082	10233
Druze126	27093	9889
Druze127	26804	10276
Druze128	27177	9872
Palestinian129	26999	10083
Palestinian130	26569	10657
Mozabite131	26414	10464
Mozabite132	26526	10734
Mozabite133	26302	10666
Bedouin134	26497	10621
Bedouin135	26927	10132
Bedouin136	26899	10115
Bedouin137	26748	10433
Druze138	26845	10607
Druze139	26458	10667
Druze140	26535	10697
Palestinian141	27404	9186
Palestinian142	26733	10597
Mozabite143	26410	10923
Mozabite144	26380	10579
Mozabite145	26458	10725
Bedouin146	27076	9837
Bedouin147	26677	10619
Bedouin148	26859	10134
Bedouin149	27812	9179
Druze150	26859	10459
Druze151	26859	10131
Druze152	27116	10148
Druze153	26829	10588
Palestinian154	26778	10593
Palestinian155	26383	10850
Mozabite156	26299	10572
Mozabite157	26414	10443
Mozabite158	26491	10664
Bedouin159	27428	10104
Bedouin160	27282	9721
Bedouin161	26884	10368
Bedouin162	26921	10366
Druze163	26674	10593
Druze164	27015	10337
Druze165	26635	10662
Druze166	26740	10517
Palestinian167	26334	10862
Palestinian168	25911	10854
Mozabite169	26263	10638
Mozabite170	26791	10201
Mozabite171	26403	10579
Bedouin172	26199	10943
Bedouin173	27248	9808
Bedouin174	26301	10985
Bedouin175	27485	9921
Druze176	27210	10084
Druze177	26756	10613
Druze178	26811	10456
Druze179	26609	10782
Palestinian180	26388	10734
Palestinian181	27029	10314
Mozabite182	26097	10791
Bedouin183	26779	10545
Bedouin184	26615	10873
Bedouin185	27028	9822
Bedouin186	26734	10764
Bedouin187	27299	9858
Druze188	27028	10559
Druze189	27127	9898
Druze190	26833	10641
Palestinian191	26482	10560
Palestinian192	26477	10966
Bedouin193	26921	10361
Druze194	27191	9941
Druze195	26462	10864
Druze196	27244	9929
Druze197	26625	10666
Palestinian198	26502	10827
Palestinian199	26456	11024
Palestinian200	26521	10577
Palestinian201	26483	10781
Bedouin202	27388	9812
Bedouin203	26739	10639
Druze204	26658	10534
Druze205	26630	10750
Druze206	27096	10290
Palestinian207	26446	10687
Palestinian208	26230	10814
Palestinian209	26908	10250
Palestinian210	26828	10348
Bedouin211	26784	10534
Bedouin212	27141	10348
Druze213	26784	10542
Druze214	27210	10233
Druze215	27030	10265
Druze216	28078	8649
Palestinian217	26318	10879
Druze218	26552	10509
Palestinian219	26614	10764
Palestinian220	26330	10839
Palestinian221	26397	10914
Mozabite222	26091	10705
Mozabite223	26253	10526
Bedouin224	27151	10083
Bedouin225	26932	10052
Druze226	27148	9782
Druze227	26580	10740
Druze228	26791	10240
Druze229	27171	10012
Palestinian230	26291	10613
Palestinian231	26226	10924
Palestinian232	26341	10741
Palestinian233	26324	10870
Palestinian234	26503	10763
Palestinian235	26284	10856
Palestinian236	26846	10496
Palestinian237	26396	10808
Palestinian238	26920	10158
Palestinian239	26454	10745
Palestinian240	26808	10413
Palestinian241	26388	10845
Palestinian242	26953	10189
Palestinian243	26621	10264
Palestinian244	26300	10828
Palestinian245	26450	10713
Palestinian246	26824	10588
France247	26552	10524
France248	26717	10560
Basque249	26854	10359
Basque250	27427	9996
Sardinia251	26838	10343
Sardinia252	27083	10359
Sardinia253	26973	10330
Italy254	26624	10544
France255	26564	10610
France256	26788	10343
Basque257	26929	10281
Basque258	26871	10410
Sardinia259	26986	10328
Sardinia260	27171	10115
Sardinia261	27189	9968
Italy262	26638	10568
France263	26776	10435
France264	26640	10408
France265	26597	10671
Basque266	26676	10424
Basque267	27035	10371
Sardinia268	27021	10456
Sardinia269	27060	10252
Italy270	26658	10575
Italy271	26982	10377
France272	26606	10471
France273	26611	10581
France274	26964	10045
Bedouin275	26596	10809
France276	26372	10407
France277	26404	10547
France278	26665	10435
France279	26705	10451
France280	26735	10577
France281	26579	10664
Basque282	27009	10671
Sardinia283	27128	10466
Sardinia284	26945	10328
Italy285	26549	10380
Tuscany286	26547	10768
France287	26749	10540
France288	26360	10631
France289	26895	10628
Russia290	26234	10512
Russia291	26253	10332
France292	26527	10608
France293	26678	10597
Basque294	26750	10209
Basque295	26789	10205
Sardinia296	27081	10216
Sardinia297	27054	10514
Italy298	26542	10745
Tuscany299	26696	10796
France300	26531	10693
France301	26671	10538
Basque302	26858	10278
Sardinia303	27221	10460
Sardinia304	27063	10267
Sardinia305	26785	10464
France306	26445	10414
France307	26885	10558
Basque308	26820	10237
Basque309	26827	10346
Basque310	27018	10258
Sardinia311	26773	10310
Sardinia312	26946	10469
Italy313	26825	10537
Tuscany314	26669	10709
Italy315	26727	10439
Tuscany316	26604	10514
Basque317	26771	10441
Basque318	26866	10399
Sardinia319	26980	10178
Sardinia320	27185	10389
Italy321	27207	9750
Tuscany322	26788	10617
Russia323	26393	10415
Russia324	26287	10691
Russia325	26246	10542
Mozabite326	26495	10140
Mozabite327	26372	10578
Bedouin328	26779	10297
Bedouin329	26225	10741
Bedouin330	26249	10903
Basque331	26698	10510
Basque332	26902	10249
Sardinia333	26961	10473
Sardinia334	27006	10459
Italy335	26718	10755
Tuscany336	26678	10673
Russia337	26245	10594
Russia338	26210	10483
Basque339	26849	10404
Sardinia340	26949	10488
Sardinia341	26924	10099
Sardinia342	26886	10425
Italy343	26600	10535
Tuscany344	26719	10352
Russia345	26194	10409
Russia346	26137	10522
Mozabite347	26373	10481
Mozabite348	26337	10763
Bedouin349	27309	10081
Bedouin350	27262	10078
Mozabite351	26141	10145
Mozabite352	26311	10845
Bedouin353	26567	10308
Bedouin354	27277	10078
Russia355	26435	10478
Russia356	26214	10528
Russia357	26310	10625
Russia358	26184	10463
France359	26737	10631
France360	26768	10191
Basque361	26837	10432
Russia362	26356	10435
Russia363	26215	10700
Basque364	26791	10271
Basque365	26833	10420
Sardinia366	26817	10185
Sardinia367	27293	10339
Italy368	26815	10597
Russia369	26204	10437
Russia370	26043	10478
Russia371	26192	10298
Russia372	26265	10569
Russia373	26330	10492
Russia374	26226	10487
Russia375	26386	10466
Russia376	26447	10502
Russia377	26362	10439
Russia378	26238	10552
Italy379	26794	10536
France380	26333	10507
Tuscany381	26795	10465
France382	26669	10640
Basque383	26753	10379
Basque384	27010	10352
Sardinia385	27180	9908
Basque386	26680	10435
Sardinia387	26922	10290
Yemenite388	27074	10327
Yemenite389	27085	10048
Yemenite390	26731	10499
Yemenite391	26550	10631
Yemenite392	26797	10463
Yemenite393	27219	9877
Yemenite394	26715	10590
Yemenite395	26956	10240
Yemenite396	27380	9981
Yemenite397	26763	10438
Yemenite398	26955	10632
Yemenite399	26795	10547
Yemenite400	27259	9799
Yemenite401	26574	10483
Yemenite402	26669	10546
Yemenite403	26557	10548
Yemenite404	26517	10728
Yemenite405	27396	9940
Yemenite406	26776	10529
Yemenite407	27187	10039
Yemenite408	27518	9602
Yemenite409	27429	9679
Yemenite410	26955	10622
Yemenite411	27070	10199
Yemenite412	26995	10608
Yemenite413	26474	10583
Denmark414	26343	10590
Denmark415	26541	10582
Yemenite416	26674	10605
Chuvash417	25889	10532
Chuvash418	26296	10573
Chuvash419	25894	10668
Chuvash420	25812	10594
Chuvash421	25863	10533
Chuvash422	25809	10574
Chuvash423	25881	10415
Chuvash424	25922	10563
Chuvash425	25678	10574
Chuvash426	26299	10645
Chuvash427	24662	11045
Chuvash428	26096	10680
Denmark429	26531	10396
Denmark430	26455	10363
Denmark431	26658	10348
Denmark432	26413	10756
Denmark433	26246	10522
Denmark434	26545	10476
Denmark435	26557	10676
Denmark436	26657	10338
Denmark437	26575	10515
Yemenite438	26635	10587
Chuvash439	26342	10452
Yemenite440	27116	10666
Chuvash441	25909	10424
Denmark442	26579	10558
Denmark443	26458	10392
Chuvash444	25987	10514
Chuvash445	26058	10488
Chuvash446	26251	10545
Chuvash447	25842	10404
Chuvash448	25796	10622
Denmark449	26684	10323
Yemenite450	26771	10659
Yemenite451	26940	10183
Chuvash452	25662	10275
Chuvash453	26412	10297
Chuvash454	25802	10458
Denmark455	26717	10560
Denmark456	26584	10536
Yemenite457	26815	10558
Yemenite458	26743	10601
Chuvash459	25837	10568
Denmark460	26725	10571
Denmark461	26502	10558
Chuvash462	25691	10513
Denmark463	26423	10507
Chuvash464	25983	10439
Chuvash465	26207	10616
Yemenite466	26997	10088
Chuvash467	26515	10436
Denmark468	26568	10335
Chuvash469	25818	10703
Chuvash470	25832	10365
Chuvash471	26232	10278
Chuvash472	26022	10524
Denmark473	26320	10539
Chuvash474	25897	10606
Denmark475	26308	10457
Chuvash476	26516	10479
Denmark477	26527	10440
Chuvash478	25937	10472
Chuvash479	25954	10490
Denmark480	26422	10327
Chuvash481	25810	10517
Chuvash482	25706	10385
Yemenite483	26714	10610
Denmark484	26487	10493
Chuvash485	25913	10519
Denmark486	26735	10531
Denmark487	26233	10488
Chuvash488	25819	10655
Denmark489	26747	10420
Denmark490	26515	10442
Denmark491	26562	10484
Yemenite492	26699	10559
Denmark493	26561	10437
Yemenite494	26691	10568
Denmark495	26593	10402
Chuvash496	25932	10225
Chuvash497	25864	10426
Denmark498	26364	10507
Denmark499	26809	10355
Denmark500	26565	10454
Denmark501	26403	10726
Denmark502	26566	10382
Denmark503	26482	10507
Denmark504	27434	8911
Denmark505	26434	10360
Denmark506	26559	10457
Denmark507	26420	10471
Denmark508	26666	10539
Ireland509	26580	10483
Ireland510	26652	10550
Ireland511	26525	10448
Ireland512	26512	10466
Ireland513	26525	10372
Ireland514	26675	10382
Ireland515	26699	10254
Ireland516	26609	10527
Ireland517	26387	10639
Ireland518	26549	10512
Ireland519	26516	10510
Ireland520	26631	10543
Finland521	26287	10474
Finland522	26386	10389
Finland523	26100	10513
Finland524	26268	10407
Finland525	26540	10360
Finland526	26240	10303
Finland527	26193	10418
Finland528	26301	10540
Ireland529	26560	10403
Ireland530	26494	10387
Ireland531	26317	10457
Ireland532	26595	10524
Ireland533	26472	10535
Finland534	26421	10159
Finland535	26455	10065
Finland536	26108	10131
Finland537	26334	10328
Finland538	26280	10221
Finland539	26348	10395
Finland540	26883	9535
Finland541	26393	10369
Finland542	26307	10219
Finland543	26331	10313
Finland544	26439	10232
Russia545	26090	10397
Russia546	25933	10604
Russia547	26449	10533
Russia548	26137	10412
Finland549	26317	10175
Finland550	26521	10363
Finland551	26300	10320
Finland552	26117	10378
Russia553	26272	10385
Russia554	26471	10335
Ireland555	26561	10575
Ireland556	26546	10422
Ireland557	26558	10213
Ireland558	26398	10570
Ireland559	26782	10555
Russia560	25963	10184
Russia561	26037	10556
Russia562	26171	10471
Russia563	26204	10382
Russia564	26247	10775
Finland565	26360	10422
Finland566	26424	10120
Russia567	26236	10418
Hungary568	26260	10461
Hungary569	26849	10528
Russia570	26556	10420
Hungary571	26385	10477
Russia572	26391	10376
Hungary573	26307	10543
Hungary574	26428	10409
Hungary575	26219	10637
Hungary576	26625	10594
Hungary577	26204	10694
Hungary578	26357	10482
Hungary579	26401	10467
Hungary580	26491	10609
Hungary581	26047	10617
Hungary582	26425	10544
Hungary583	26560	10735
Hungary584	26414	10282
Hungary585	26463	10544
Hungary586	26313	10317
Hungary587	26490	10618
Hungary588	26383	10571
Hungary589	26489	10664
Hungary590	26505	10602
Hungary591	26599	10718
Hungary592	26571	10658
Hungary593	26397	10389
Hungary594	26540	10266
Hungary595	26600	10449
Hungary596	26664	10601
Hungary597	26461	10668
Russia598	26346	10671
Hungary599	26030	10608
Hungary600	26777	10554
Hungary601	26649	10627
Hungary602	26684	10362
Hungary603	26689	10374
Hungary604	26501	10617
Hungary605	26595	10522
Hungary606	26615	10748
Hungary607	26506	10524
Hungary608	26627	10602
Hungary609	26666	10483
Hungary610	26473	10619
Hungary611	26482	10535
Russia612	25999	10494
Russia613	26192	10509
Russia614	26213	10481
Russia615	26203	10410
Russia616	26335	10422
Russia617	26082	10383
Peloponnese618	26531	10489
Peloponnese619	26452	10530
Peloponnese620	26643	10613
Peloponnese621	26862	10370
Peloponnese622	26699	10703
Peloponnese623	26658	10611
Peloponnese624	26876	10406
Peloponnese625	26727	10633
Peloponnese626	26728	10871
Peloponnese627	26416	10583
Peloponnese628	26518	10849
Peloponnese629	26626	10330
Peloponnese630	26785	10637
Peloponnese631	26462	10522
Peloponnese632	26585	10687
Peloponnese633	26682	10671
Peloponnese634	26479	10636
Peloponnese635	26630	10646
Peloponnese636	26852	10502
SE_Laconia637	26471	10834
SE_Laconia638	26829	10671
SE_Laconia639	26714	10652
SE_Laconia640	26752	10582
SE_Laconia641	26652	10712
East_Rumelia642	26711	10761
